team_abbreviation_away,team_abbreviation_home,wl_home,game_date,home_conf,away_conf,winning_conference
OKC,IND,W,2021-04-21T00:00:00Z,E,W,E
PHX,BOS,W,2021-04-22T00:00:00Z,E,W,E
DET,SAS,W,2021-04-22T00:00:00Z,W,E,W
NOP,ORL,L,2021-04-22T00:00:00Z,E,W,W
WAS,OKC,L,2021-04-23T00:00:00Z,W,E,E
PHX,BKN,W,2021-04-25T00:00:00Z,E,W,E
OKC,PHI,W,2021-04-26T00:00:00Z,E,W,E
LAL,ORL,L,2021-04-26T00:00:00Z,E,W,W
PHX,NYK,L,2021-04-26T00:00:00Z,E,W,W
SAS,WAS,L,2021-04-26T00:00:00Z,E,W,W
POR,IND,L,2021-04-27T00:00:00Z,E,W,W
OKC,BOS,L,2021-04-27T00:00:00Z,E,W,W
SAS,MIA,W,2021-04-28T00:00:00Z,E,W,E
LAL,WAS,W,2021-04-28T00:00:00Z,E,W,E
TOR,DEN,W,2021-04-29T00:00:00Z,W,E,W
DAL,DET,L,2021-04-29T00:00:00Z,E,W,W
MIL,HOU,W,2021-04-29T00:00:00Z,W,E,W
POR,BKN,L,2021-04-30T00:00:00Z,E,W,W
ORL,MEM,W,2021-04-30T00:00:00Z,W,E,W
SAS,BOS,W,2021-04-30T00:00:00Z,E,W,E
WAS,DAL,W,2021-05-01T00:00:00Z,W,E,W
MEM,ORL,W,2021-05-01T00:00:00Z,E,W,E
TOR,UTA,W,2021-05-01T00:00:00Z,W,E,W
IND,OKC,L,2021-05-01T00:00:00Z,W,E,E
TOR,LAL,L,2021-05-02T00:00:00Z,W,E,E
PHI,SAS,L,2021-05-02T00:00:00Z,W,E,E
NYK,HOU,L,2021-05-02T00:00:00Z,W,E,E
POR,BOS,L,2021-05-02T00:00:00Z,E,W,W
POR,ATL,W,2021-05-03T00:00:00Z,E,W,E
NYK,MEM,L,2021-05-03T00:00:00Z,W,E,E
DAL,MIA,L,2021-05-04T00:00:00Z,E,W,W
PHX,CLE,L,2021-05-04T00:00:00Z,E,W,W
TOR,LAC,W,2021-05-04T00:00:00Z,W,E,W
NYK,DEN,W,2021-05-05T00:00:00Z,W,E,W
PHI,HOU,L,2021-05-05T00:00:00Z,W,E,E
POR,CLE,L,2021-05-05T00:00:00Z,E,W,W
SAC,IND,L,2021-05-05T00:00:00Z,E,W,W
PHX,ATL,W,2021-05-05T00:00:00Z,E,W,E
MEM,DET,W,2021-05-06T00:00:00Z,E,W,E
BKN,DAL,W,2021-05-06T00:00:00Z,W,E,W
CLE,DAL,W,2021-05-07T00:00:00Z,W,E,W
MIN,MIA,W,2021-05-07T00:00:00Z,E,W,E
HOU,MIL,W,2021-05-07T00:00:00Z,E,W,E
NOP,PHI,W,2021-05-07T00:00:00Z,E,W,E
